location_id,location_name,Interview Required Visitors (B1/B2),"Interview Required Students/Exchange Visitors (F, M, J)","Interview Required Petition-Based Temporary Workers (H, L, O, P, Q)",Interview Waiver Visitors (B1/B2),"Interview Waiver Students/Exchange Visitors (F, M, J)","Interview Waiver Petition-Based Temporary Workers (H, L, O, P, Q)"
P137,Montreal,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P138,Moscow,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P139,Mumbai (Bombay),999 Days,37 Days,367 Days,16 Days,8 Days,289 Days
P140,Munich,38 Days,11 Days,17 Days,1 Days,1 Days,1 Days
P141,Muscat,34 Days,34 Days,34 Days,1 Days,1 Days,1 Days
P142,N`Djamena,65 Days,65 Days,65 Days,1 Days,1 Days,1 Days
P143,Naha,4 Days,4 Days,4 Days,1 Days,1 Days,1 Days
P144,Nairobi,92 Days,77 Days,44 Days,Same Day,Same Day,Same Day
P145,Naples,4 Days,1 Days,2 Days,Same Day,Same Day,Same Day
P146,Nassau,125 Days,3 Days,2 Days,Same Day,3 Days,3 Days
P147,New Delhi,984 Days,37 Days,330 Days,1 Days,1 Days,290 Days
P148,Niamey,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P149,Nicosia,72 Days,15 Days,15 Days,1 Days,1 Days,1 Days
P150,Nogales,884 Days,3 Days,7 Days,217 Days,1 Days,1 Days
P151,Nouakchott,21 Days,21 Days,21 Days,21 Days,21 Days,21 Days
P152,Nuevo Laredo,552 Days,1 Days,1 Days,239 Days,239 Days,1 Days
P153,Osaka-Kobe,30 Days,7 Days,7 Days,1 Days,1 Days,1 Days
P154,Oslo,14 Days,9 Days,8 Days,1 Days,1 Days,1 Days
P155,Ottawa,346 Days,21 Days,114 Days,10 Days,10 Days,10 Days
P156,Ouagadougou,206 Days,206 Days,1 Days,6 Days,6 Days,6 Days
P157,Panama City,686 Days,8 Days,8 Days,71 Days,71 Days,71 Days
P158,Paramaribo,48 Days,2 Days,2 Days,2 Days,2 Days,2 Days
P159,Paris,130 Days,30 Days,71 Days,1 Days,1 Days,1 Days
P160,Perth,23 Days,23 Days,23 Days,1 Days,1 Days,1 Days
P161,Phnom Penh,7 Days,8 Days,8 Days,9 Days,9 Days,8 Days
P162,Podgorica,60 Days,15 Days,15 Days,1 Days,1 Days,1 Days
ponta_delgada,Ponta Delgada,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post
P164,Port Au Prince,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P165,Port Louis,14 Days,14 Days,14 Days,30 Days,30 Days,30 Days
P166,Port Moresby,2 Days,2 Days,2 Days,2 Days,2 Days,2 Days
P167,Port Of Spain,62 Days,11 Days,14 Days,90 Days,7 Days,3 Days
porto_alegre,Porto Alegre,289 Days,23 Days,10 Days,38 Days,1 Days,1 Days
P168,Prague,36 Days,15 Days,15 Days,4 Days,4 Days,4 Days
P169,Praia,100 Days,3 Days,3 Days,3 Days,3 Days,3 Days
pretoria,Pretoria,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post
P231,Pristina,75 Days,2 Days,75 Days,22 Days,2 Days,22 Days
P170,Quebec,346 Days,43 Days,114 Days,Same Day,Same Day,Same Day
P171,Quito,135 Days,1 Days,1 Days,1 Days,1 Days,1 Days
P172,Rangoon,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P173,Recife,365 Days,5 Days,3 Days,31 Days,10 Days,18 Days
P174,Reykjavik,14 Days,14 Days,14 Days,1 Days,1 Days,1 Days
P175,Riga,3 Days,3 Days,3 Days,Same Day,Same Day,Same Day
P230,Rio De Janeiro,428 Days,3 Days,3 Days,30 Days,1 Days,1 Days
P177,Riyadh,70 Days,23 Days,31 Days,1 Days,1 Days,1 Days
P178,Rome,9 Days,16 Days,1 Days,Same Day,Same Day,Same Day
P179,San Jose,371 Days,9 Days,9 Days,10 Days,2 Days,2 Days
P180,San Salvador,92 Days,7 Days,4 Days,2 Days,2 Days,2 Days
P181,Sanaa,Closed,Closed,Closed,Closed,Closed,Closed
P182,Santiago,315 Days,12 Days,12 Days,315 Days,12 Days,12 Days
P183,Santo Domingo,545 Days,5 Days,10 Days,35 Days,3 Days,2 Days
P184,Sao Paulo,484 Days,21 Days,1 Days,15 Days,1 Days,1 Days
P224,Sapporo,15 Days,15 Days,15 Days,1 Days,1 Days,1 Days
P185,Sarajevo,10 Days,10 Days,10 Days,2 Days,2 Days,2 Days
P186,Seoul,79 Days,37 Days,70 Days,8 Days,15 Days,10 Days
P187,Shanghai,30 Days,9 Days,9 Days,1 Days,1 Days,1 Days
P188,Shenyang,2 Days,2 Days,2 Days,,,
P189,Singapore,2 Days,3 Days,3 Days,2 Days,2 Days,2 Days
P190,Skopje,46 Days,46 Days,46 Days,1 Days,1 Days,1 Days
P191,Sofia,37 Days,17 Days,37 Days,14 Days,14 Days,14 Days
st_georges,St Georges,Closed,Closed,Closed,Closed,Closed,Closed
P192,St Petersburg,Closed,Closed,Closed,Closed,Closed,Closed
P193,Stockholm,44 Days,7 Days,1 Days,14 Days,14 Days,14 Days
P194,Surabaya,41 Days,2 Days,2 Days,2 Days,1 Days,1 Days
P195,Suva,11 Days,3 Days,2 Days,3 Days,3 Days,3 Days
P196,Sydney,69 Days,23 Days,64 Days,1 Days,1 Days,1 Days
P197,Taipei,27 Days,7 Days,7 Days,1 Days,1 Days,1 Days
P198,Tallinn,1 Days,1 Days,1 Days,1 Days,1 Days,1 Days
P199,Tashkent,120 Days,30 Days,30 Days,30 Days,30 Days,30 Days
P200,Tbilisi,247 Days,23 Days,66 Days,Same Day,Same Day,Same Day
P201,Tegucigalpa,2 Days,2 Days,2 Days,66 Days,2 Days,2 Days
P202,Tel Aviv,199 Days,2 Days,5 Days,1 Days,1 Days,1 Days
tijuana,Tijuana,626 Days,1 Days,1 Days,423 Days,1 Days,1 Days
P203,Tijuana Tpf,626 Days,1 Days,1 Days,423 Days,1 Days,1 Days
P204,Tirana,138 Days,14 Days,14 Days,1 Days,1 Days,1 Days
P205,Tokyo,43 Days,2 Days,2 Days,1 Days,1 Days,1 Days
P206,Toronto,464 Days,51 Days,71 Days,10 Days,10 Days,10 Days
P207,Tripoli,Closed,Closed,Closed,Closed,Closed,Closed
P208,Tunis,150 Days,21 Days,14 Days,1 Days,1 Days,1 Days
P209,Ulaanbaatar,130 Days,35 Days,15 Days,44 Days,44 Days,44 Days
usun-new_york,Usun-New York,7 Days,7 Days,7 Days,,,
P210,Valletta,30 Days,15 Days,30 Days,,,
P211,Vancouver,329 Days,6 Days,146 Days,10 Days,10 Days,10 Days
P212,Vienna,43 Days,37 Days,37 Days,5 Days,5 Days,5 Days
P213,Vientiane,79 Days,30 Days,30 Days,1 Days,1 Days,1 Days
P214,Vilnius,2 Days,2 Days,2 Days,Same Day,Same Day,1 Days
P215,Vladivostok,Closed,Closed,Closed,Closed,Closed,Closed
P216,Warsaw,3 Days,1 Days,1 Days,2 Days,2 Days,2 Days
P217,Windhoek,58 Days,30 Days,30 Days,30 Days,30 Days,30 Days
P218,Yaounde,9 Days,9 Days,13 Days,Same Day,Same Day,Same Day
yekaterinburg,Yekaterinburg,Closed,Closed,Closed,Closed,Closed,Closed
P220,Yerevan,260 Days,120 Days,79 Days,1 Days,1 Days,1 Days
P221,Zagreb,94 Days,7 Days,30 Days,10 Days,10 Days,10 Days
